Date,O18,,
10/15/1999,-1.97,,
11/15/1999,-3.895,,
12/15/1999,-3.12,1998,-3.583333333
1/15/2000,-3.95,,
2/15/2000,-3.68,,
3/15/2000,-3.16,,
4/15/2000,-3.84,,
5/15/2000,-4,,
6/15/2000,-4.31,,
7/15/2000,-5.16,,
8/15/2000,-4.59,,
9/15/2000,-3.26,,
10/15/2000,-4.38,,
11/15/2000,-2.73,,
12/15/2000,-1.83,1999,-1.84
1/15/2001,-1.34,,
2/15/2001,-2.35,,
3/15/2001,-4.44,,
4/15/2001,-4.1,,
5/15/2001,-4.45,,
6/15/2001,-4.2,,
7/15/2001,-5.56,,
8/15/2001,,,
9/15/2001,-2.75,,
10/15/2001,-3.53,,
11/15/2001,-3.25,,
12/15/2001,-3.3,2000,-2.26
1/15/2002,-1.22,,
2/15/2002,,,
3/15/2002,,,
4/15/2002,,,
5/15/2002,-5.2,,
6/15/2002,-3.34,,
7/15/2002,-3.8,,
8/15/2002,,,
9/15/2002,-2.62,,
10/15/2002,,,
11/15/2002,,,
12/15/2002,,2001,#DIV/0!
